propertyType,furnishing,flrNum,facing,totalFlrNum,city,carpetArea,bedrooms,bathrooms,exactPrice
Multistorey Apartment,Unfurnished,2.0,North,6,Patna,1043.0,3,2,7208000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,2,2,5040000
Multistorey Apartment,Semi-Furnished,3.0,Unknown,5,Patna,1250.0,3,2,6187500
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5731000
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,3,3,8593200
Multistorey Apartment,Semi-Furnished,2.0,North,4,Patna,1521.0,3,2,9500000
Multistorey Apartment,Unfurnished,5.0,South - East,7,Patna,1162.0,3,2,7750000
Multistorey Apartment,Unfurnished,2.0,East,4,Patna,1000.0,2,2,6050000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,17,Patna,1000.0,3,2,8370000
Multistorey Apartment,Semi-Furnished,2.0,North - West,5,Patna,1000.0,3,2,9025500
Multistorey Apartment,Unfurnished,2.0,East,4,Patna,1000.0,2,2,5500000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,6375000
Multistorey Apartment,Semi-Furnished,1.0,East,4,Patna,1000.0,3,3,9300000
Multistorey Apartment,Unfurnished,4.0,East,4,Patna,1580.0,3,2,9300000
Multistorey Apartment,Semi-Furnished,1.0,East,5,Patna,966.0,3,2,11291000
Multistorey Apartment,Semi-Furnished,1.0,South,3,Patna,650.0,2,2,5200800
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,3,3,8822600
Multistorey Apartment,Semi-Furnished,2.0,Unknown,4,Patna,1000.0,3,2,9119500
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,3,2,7825000
Multistorey Apartment,Semi-Furnished,2.0,Unknown,17,Patna,1000.0,3,2,8586000
Multistorey Apartment,Unfurnished,2.0,Unknown,7,Patna,1000.0,3,2,13250250
Multistorey Apartment,Semi-Furnished,4.0,North - East,5,Patna,1000.0,3,2,7557000
Multistorey Apartment,Unfurnished,1.0,North,4,Patna,1300.0,3,2,6900000
Multistorey Apartment,Semi-Furnished,4.0,North - East,8,Patna,1258.0,3,3,12636200
Multistorey Apartment,Unfurnished,2.0,East,4,Patna,1000.0,3,2,6700000
Multistorey Apartment,Unfurnished,3.0,North,7,Patna,876.0,2,2,6395400
Multistorey Apartment,Unfurnished,2.0,Unknown,6,Patna,1000.0,3,2,6631560
Multistorey Apartment,Unfurnished,2.0,Unknown,3,Patna,1000.0,3,3,9052000
Multistorey Apartment,Semi-Furnished,4.0,East,6,Patna,1000.0,3,2,7100000
Multistorey Apartment,Unfurnished,2.0,Unknown,4,Patna,1000.0,2,2,5200000
Multistorey Apartment,Unfurnished,4.0,East,6,Patna,1300.0,3,2,12500000
